Id,Fecha,Hora,Evento,Ministerio,Ubicacion,Estado,Telefono,Dia_Secuencia,Fecha_Contacto,Resultado,Notas,Version_Mensaje
1,27/02/2026,11:42,Fritz almacen y minimarket. Quilicura,App Almacen,Quilicura,Finalizado,56939006214,2,02/03/2026 12:02,,,
2,27/02/2026,11:42,"Minimarket ""Donde La Nancy""",App Almacen,Quilicura,Finalizado,56999569675,2,02/03/2026 15:00,,,
3,27/02/2026,11:42,Almacen Millauquen,App Almacen,Quilicura,Finalizado,56992458252,2,28/02/2026 17:42,,,
4,27/02/2026,11:42,MiniMarket del Valle,App Almacen,Quilicura,Finalizado,56975810528,2,02/03/2026 17:53,,,
5,27/02/2026,11:42,Minimarket Lo Marcoleta,App Almacen,Quilicura,Finalizado,56986507302,2,02/03/2026 12:02,,,
6,27/02/2026,11:42,Almacen,App Almacen,Quilicura,Error,56226273940,0,27/02/2026 17:46,,,
7,27/02/2026,11:42,Minimarket Donde Alonso,App Almacen,Quilicura,Error,56966669999,0,28/02/2026 11:41,,,
8,27/02/2026,11:42,Almacen Minimarket Arens,App Almacen,Quilicura,Finalizado,56978029604,2,02/03/2026 15:00,,,
9,28/02/2026,14:37,Amasanderia Y Almacén Donde Margarita,App Almacen,La Florida,Error,56222628722,0,03/03/2026 12:08,,,
10,28/02/2026,14:37,Minimarket Los Martinez,App Almacen,La Florida,Error,56222870177,0,02/03/2026 17:53,,,
11,28/02/2026,14:37,Minimarket Alto La Florida,App Almacen,La Florida,Error,56222864275,0,28/02/2026 17:42,,,
12,28/02/2026,14:37,Minimarket El Chumbequito,App Almacen,La Florida,Agendado,56947041741,1,02/03/2026 12:02,,,
13,28/02/2026,14:37,Mini Mercado🛒 Oasis Plaza,App Almacen,La Florida,Finalizado,56991376573,2,04/03/2026 14:58,,,
14,28/02/2026,14:37,Minimarket Luna Market,App Almacen,La Florida,Finalizado,56935396140,2,04/03/2026 12:00,,,
15,28/02/2026,14:37,Minimarket Roo!!Market,App Almacen,La Florida,Finalizado,56997500995,2,02/03/2026 15:00,,,
16,03/03/2026,15:01,Mini Market FC,App Almacen,Estacion Central,Finalizado,56994781485,2,05/03/2026 17:54,,,
17,03/03/2026,15:01,Lider Alameda,App Almacen,Estacion Central,Error,566004009000,0,,,,
18,03/03/2026,15:01,Santa Isabel,App Almacen,Estacion Central,Error,566004006000,0,,,,
19,03/03/2026,15:01,Almacen Camila,App Almacen,Estacion Central,Error,56223243055,0,,,,
20,03/03/2026,15:01,Minimarket botilleria Amengual,App Almacen,Estacion Central,Finalizado,56968584948,2,05/03/2026 12:08,,,
21,03/03/2026,15:01,MiniMarket Los Medanos,App Almacen,Estacion Central,Finalizado,56936499908,2,06/03/2026 11:58,,,
22,03/03/2026,15:01,CRISOL Almacén y Botilleria,App Almacen,Estacion Central,Finalizado,56957351486,2,05/03/2026 17:54,,,
23,04/03/2026,17:50,Almacén M&M Maipú,App Almacen,Maipu,Finalizado,56945914617,2,06/03/2026 17:49,,,
24,04/03/2026,17:50,"Minimarket ""El típico Chileno""",App Almacen,Maipu,Finalizado,56958066801,2,06/03/2026 17:49,,,
25,04/03/2026,17:50,Kimba Market,App Almacen,Maipu,Finalizado,56920217282,2,06/03/2026 14:54,,,
26,04/03/2026,17:50,Minimarket y Botillería Paddock,App Almacen,Maipu,Finalizado,56996287564,2,07/03/2026 14:39,,,
27,04/03/2026,17:50,FLOIS Market LP,App Almacen,Maipu,Finalizado,56920481113,2,06/03/2026 17:49,,,
28,04/03/2026,17:50,LOS ISLEÑOS Minimarket,App Almacen,Maipu,Finalizado,56953389581,2,06/03/2026 14:54,,,
29,04/03/2026,17:50,Minimarket monita,App Almacen,Maipu,Finalizado,56995814341,2,07/03/2026 17:42,,,
30,04/03/2026,17:50,MINIMARKET DONDE TONEKE,App Almacen,Maipu,Finalizado,56930099449,2,07/03/2026 11:43,,,
31,04/03/2026,17:50,Almacén El Cielo,App Almacen,Maipu,Error,56223248510,0,06/03/2026 11:58,,,
32,09/03/2026,12:13,MINIMARKET,App Almacen,San Miguel,Finalizado,56957475536,2,11/03/2026 12:07,,,B
33,09/03/2026,12:13,Minimarket Los Vecinos,App Almacen,San Miguel,Error,56936495947,0,10/03/2026 12:12,,,
34,09/03/2026,12:13,Minimarket almacén El Kairos,App Almacen,San Miguel,Finalizado,56949565021,2,11/03/2026 12:07,,,A
35,09/03/2026,12:13,FRESHMARKET,App Almacen,San Miguel,Finalizado,56981387023,2,10/03/2026 17:50,,,B
36,09/03/2026,12:13,Minimarket San Ignacio,App Almacen,San Miguel,Finalizado,56959035050,2,12/03/2026 12:11,,,B
37,09/03/2026,12:13,Minimarket Simmental,App Almacen,San Miguel,Finalizado,56935901773,2,11/03/2026 15:05,,,B
38,09/03/2026,12:13,Minimarket Santa Margarita,App Almacen,San Miguel,Finalizado,56962284003,2,10/03/2026 17:50,,,A
39,09/03/2026,12:13,Minimarket Panadería Verdulería MEGA-MARKET,App Almacen,San Miguel,Finalizado,56956598718,2,10/03/2026 15:02,,,B
40,09/03/2026,12:13,Somos Good Minimarket & Coffee,App Almacen,San Miguel,Finalizado,56948872884,2,11/03/2026 15:05,,,B
41,09/03/2026,12:13,Minimarket Chinita,App Almacen,San Miguel,Error,56223121146,0,09/03/2026 15:02,,,
42,09/03/2026,12:13,+58 market,App Almacen,San Miguel,Finalizado,56931327318,2,11/03/2026 15:05,,,A
43,09/03/2026,12:13,MINIMARKET Y CONFITERIA,App Almacen,San Miguel,Error,56223551613,0,09/03/2026 17:52,,,
44,09/03/2026,12:13,Emporio Vitta,App Almacen,San Miguel,Error,56972678102,0,10/03/2026 15:02,,,
45,11/03/2026,17:51,Botilleria y minimarket JR,App Almacen,San Miguel,Finalizado,56940934865,2,13/03/2026 12:04,,,A
46,12/03/2026,15:04,Minimarket,App Almacen,Las Condes,Finalizado,56984672284,2,13/03/2026 12:04,,,A
47,12/03/2026,15:04,Minimarket Fénix,App Almacen,Las Condes,Finalizado,56998575894,2,13/03/2026 14:53,,,B
48,12/03/2026,15:04,"Alto Market, Las Condes",App Almacen,Las Condes,Error,56921689457,0,14/03/2026 11:48,,,
49,12/03/2026,15:04,Minimarket Campos,App Almacen,Las Condes,Error,56232809607,0,13/03/2026 17:54,,,
50,12/03/2026,15:04,MiniMarket Don Elias,App Almacen,Las Condes,Finalizado,56949285099,2,14/03/2026 11:48,,,B
51,12/03/2026,15:04,Minimarket Napoleón,App Almacen,Las Condes,Error,56222349546,0,13/03/2026 14:53,,,
52,12/03/2026,15:04,Minimarket J&R,App Almacen,Las Condes,Finalizado,56983804393,2,13/03/2026 17:54,,,B
53,12/03/2026,15:04,Minimercado La Esquina,App Almacen,Las Condes,Error,56978858124,0,13/03/2026 14:53,,,
54,12/03/2026,15:04,Almacen Nini,App Almacen,Las Condes,Error,56229184735,0,14/03/2026 14:45,,,
55,12/03/2026,15:04,Mercadito del campo,App Almacen,Las Condes,Error,56975140370,0,13/03/2026 17:54,,,
56,12/03/2026,15:04,"Minimarket - Almacén - Bazar ""EL PORVENIR""",App Almacen,Las Condes,Error,56225036944,0,14/03/2026 11:48,,,
57,16/03/2026,12:33,Unimarc,App Almacen,Las Condes,Error,566006000025,0,16/03/2026 15:10,,,
58,16/03/2026,12:33,Minimarket,App Almacen,Las Condes,Error,56222291993,0,16/03/2026 17:59,,,
59,16/03/2026,12:33,Supermercado Santa Isabel,App Almacen,Las Condes,Error,566004002000,0,16/03/2026 17:59,,,
60,16/03/2026,12:33,Amasanderia y verdulería Lionel,App Almacen,Las Condes,Error,56961215295,0,16/03/2026 15:10,,,
61,16/03/2026,12:33,Jumbo,App Almacen,Las Condes,Error,566004003000,0,16/03/2026 15:10,,,
62,17/03/2026,12:19,Supermercado Diez,App Almacen,Providencia,Error,56223509800,0,17/03/2026 17:59,,,
63,17/03/2026,12:19,Mi Market Hernando de Aguirre,App Almacen,Providencia,Error,56224709891,0,17/03/2026 17:59,,,
64,17/03/2026,12:19,Minimarket Rigoletto,App Almacen,Providencia,Error,56222362697,0,17/03/2026 15:09,,,
65,17/03/2026,12:19,Mi Market Eliodoro Yañez,App Almacen,Providencia,Error,56232247421,0,17/03/2026 15:09,,,
66,17/03/2026,12:19,Mi Market Pedro de Valdivia,App Almacen,Providencia,Error,56232247422,0,17/03/2026 15:09,,,
67,17/03/2026,12:19,Minimarket Supermercadito,App Almacen,Providencia,Error,56920421569,0,17/03/2026 17:59,,,
68,19/03/2026,12:08,Almacen minimarket los peumos,App Almacen,El Bosque,Error,56968348154,0,19/03/2026 14:45,,,
69,19/03/2026,12:08,Minimarket Los Rodríguez,App Almacen,El Bosque,Error,56978714477,0,19/03/2026 14:45,,,
70,19/03/2026,12:08,Minimarket Benja,App Almacen,El Bosque,Error,56991355312,0,19/03/2026 14:45,,,
71,19/03/2026,12:08,Minimarket Divinas,App Almacen,El Bosque,Error,56976042080,0,19/03/2026 15:04,,,
72,19/03/2026,12:08,Minimarket alison,App Almacen,El Bosque,Error,56987731313,0,19/03/2026 15:04,,,
73,19/03/2026,12:08,Minimarket Panchita,App Almacen,El Bosque,Error,56942123606,0,19/03/2026 15:04,,,
74,19/03/2026,17:57,Minimarket AntuCayen,App Almacen,San Bernardo,Error,56990000064,0,20/03/2026 12:04,,,
75,19/03/2026,17:57,Mikromarket la cajita,App Almacen,San Bernardo,Error,56939483635,0,20/03/2026 17:51,,,
76,19/03/2026,17:57,Minimarket Supermercado Almacen La Kabala,App Almacen,San Bernardo,Error,56957333486,0,21/03/2026 11:46,,,
77,19/03/2026,17:57,Constanza Minimarket,App Almacen,San Bernardo,Error,56944536279,0,20/03/2026 14:54,,,
78,19/03/2026,17:57,Almacen,App Almacen,San Bernardo,Error,56959870015,0,20/03/2026 12:04,,,
79,19/03/2026,17:57,Almacén La Palomita,App Almacen,San Bernardo,Error,56989382359,0,20/03/2026 14:54,,,
80,19/03/2026,17:57,Almacén Irma,App Almacen,San Bernardo,Error,56951333716,0,20/03/2026 17:51,,,
81,19/03/2026,17:57,Supermercado Tottus San Bernardo Estación,App Almacen,San Bernardo,Error,566003292002,0,20/03/2026 14:54,,,
82,19/03/2026,17:57,Minimarket El Pino,App Almacen,San Bernardo,Error,56971735732,0,20/03/2026 12:04,,,
83,19/03/2026,17:57,SUPERMERCADO ANDRADE,App Almacen,San Bernardo,Error,56228593711,0,20/03/2026 17:51,,,
84,19/03/2026,17:57,"Minimarket y bazar ""VALENTINA""",App Almacen,San Bernardo,Error,56944447861,0,19/03/2026 17:57,,,
85,19/03/2026,17:57,"Comercial Castro S.A. | Colón, San Bernardo",App Almacen,San Bernardo,Error,56228790803,0,19/03/2026 17:57,,,
86,19/03/2026,17:57,Minimarket Macrife,App Almacen,San Bernardo,Error,56987170466,0,19/03/2026 17:57,,,
87,21/03/2026,14:44,Campomarket,App Almacen,Las Condes,Error,56222120010,0,21/03/2026 14:44,,,
88,21/03/2026,17:44,Almacen,App Almacen,San Bernardo,Error,56225178472,0,21/03/2026 17:44,,,
